code,system
K76.4,icd10
K76.5,icd10
K04.2,icd10
K04.4,icd10
K04.8,icd10
K04.1,icd10
K04,icd10
K04.9,icd10
K04.0,icd10
K04.5,icd10
K22.9,icd10
K26.5,icd10
K31.9,icd10
K14.9,icd10
K25.5,icd10
K51.9,icd10
K81.9,icd10
K70.9,icd10
K38.9,icd10
K71.9,icd10
K76.9,icd10
K35.9,icd10
K29.9,icd10
K29.7,icd10
K02.9,icd10
K11.9,icd10
K10.9,icd10
K62.9,icd10
K74.6,icd10
K46.1,icd10
K27,icd10
K73.9,icd10
K37.X,icd10
K46,icd10
K27.1,icd10
K03.9,icd10
K74.5,icd10
K66.9,icd10
K28.5,icd10
K92.9,icd10
K27.5,icd10
K83.9,icd10
K65.9,icd10
K37,icd10
K29.5,icd10
K63.8,icd10
K63.1,icd10
K63.9,icd10
K63.4,icd10
K63.2,icd10
K55.1,icd10
K55.0,icd10
K55.8,icd10
K63.3,icd10
K63,icd10
K55,icd10
K55.9,icd10
K08,icd10
K08.3,icd10
K08.0,icd10
K08.8,icd10
K08.9,icd10
K86.1,icd10
K86.0,icd10
K86.9,icd10
K85,icd10
K86,icd10
K86.3,icd10
K86.2,icd10
K85.X,icd10
K86.8,icd10
K29.1,icd10
K29.8,icd10
K29.6,icd10
K29.3,icd10
K29,icd10
K29.4,icd10
K29.2,icd10
K27.4,icd10
K25.4,icd10
K25.6,icd10
K28.2,icd10
K26.3,icd10
K25.2,icd10
K28.4,icd10
K27.7,icd10
K26.2,icd10
K62.5,icd10
K28.0,icd10
K27.6,icd10
K26.9,icd10
K26.7,icd10
K92.2,icd10
K25.9,icd10
K29.0,icd10
K25.7,icd10
K26.0,icd10
K28.3,icd10
K27.0,icd10
K25.3,icd10
K76.2,icd10
K27.3,icd10
K28.7,icd10
K27.2,icd10
K27.9,icd10
K26.6,icd10
K25.0,icd10
K26.4,icd10
K28.9,icd10
K28.6,icd10
K45.1,icd10
K45,icd10
K73.0,icd10
K71.3,icd10
K57,icd10
K22.5,icd10
K31.4,icd10
K38.2,icd10
K77.0,icd10
K67.0,icd10
K67,icd10
K67.1,icd10
K67.2,icd10
K67.8,icd10
K75.8,icd10
K75.9,icd10
K10.2,icd10
K75,icd10
K75.4,icd10
K11.6,icd10
K11.2,icd10
K11.5,icd10
K11.8,icd10
K11,icd10
K12.2,icd10
K04.6,icd10
K57.1,icd10
K63.0,icd10
K04.7,icd10
K11.3,icd10
K57.2,icd10
K75.0,icd10
